text,label,post_id,targets
since jews have tried to exterminate white it seems only right that every single jewish girl have a nigger for her first night those who say they are jews and are not but do lie and are the synagogue of satan,1,7603245_gab,"[""African"", ""Jewish"", ""Women""]"
president trump should not recieve kike netanyahu either and should not acknowledge israel as a country either and should exterminate all jews as well,1,4650392_gab,"[""Jewish""]"
<user> <user> <user> jews assisted the nazis slaves assisted slave masters mexicans assist the white people treating them like animals,0,1178515162002857986_twitter,"[""Hispanic"", ""Jewish"", ""None""]"
he loves his daughter more than himself doubt he endangers his grandkids yet yid marries his daughter doubt accidentally yids prepared to stub trump from inside they knew that opposition was preparing him for the last <number> years to overthrow order i think for his daughter he would cave in,0,20692960_gab,"[""Islam"", ""Jewish""]"
<number> <number> salute brother its the the truth and nothing but the truth enjoy and let it develop your brain and use it against your kike government,1,17929392_gab,"[""Jewish""]"
every kike needs to be baptised,1,25354844_gab,"[""Jewish""]"
i am a nigger rabbi who sells bacon,1,13912847_gab,"[""African"", ""Jewish""]"
sorry mate my comment was more so aimed at the self professed kike killer,1,24033780_gab,"[""Jewish""]"
free weev we need another ruby ridge torba is a faggot kike,1,12475012_gab,"[""Homosexual"", ""Jewish""]"
a jew did not tell the truth some kike sympathizing cuck shilled and virtue signalled and then a kike reposted it and called it truth,1,25855002_gab,"[""Jewish""]"
the detroit lions revoked a season ticket holder tickets because he said nigger on twitter but they insist their players are allowed to express themselves freely so long as that expression is jew approved i gather the nfl hates you,0,12585712_gab,"[""African"", ""Jewish""]"
shuttener of kike banks,1,16129041_gab,"[""Jewish""]"
welfare is a kike scam to enable niggers like you to sponge off of the system it was pushed upon the country unwillingly and has been causing constant turmoil and misery ever since it should be abolished completely what else have you got for me you jew fellating ignoramus,1,15762396_gab,"[""African"", ""Jewish""]"
holy shit the ugly kike at the end,1,27150859_gab,"[""Jewish""]"
non white and kike we are coming for you a white revolution is on its way,1,14035101_gab,"[""Arab"", ""Jewish""]"
the kike shill psyop ricky vaughn has deleted his post where he stated white identity does not exist so i will post the screen shot here now ask ricky tkr get gassed faggot,1,22967436_gab,"[""Homosexual"", ""Jewish""]"
monday kike nigga kike tuesday nigga kike nigga wednesday kike nigga kike thursday nigga kike nigga friday kike nigga kike saturday nigga kike nigga sunday kike nigga kike repeat yawn,1,23637308_gab,"[""African"", ""Jewish""]"
lets fight the kike,1,17973079_gab,"[""Homosexual"", ""Jewish""]"
haha holy fuck just try not to say that guy name in a squeaky hobgoblin yid voice 😂 😂,0,22188689_gab,"[""Jewish"", ""None""]"
more kike lies could not even find his body yet those cocksmokers tell us they have his fucking dna esad thank nature for the tay sachs,1,18990407_gab,"[""Homosexual"", ""Jewish""]"
god damned kike whore cunt so sure that none of those cowards could ever get to her in her hymiewood mcmansion,1,10733286_gab,"[""Jewish"", ""None"", ""Women""]"
dirty kike we have to gas them all just to make sure,1,17016811_gab,"[""Homosexual"", ""Jewish"", ""Women""]"
that sarah press <user> the resident wannabe high brow kikess,1,13329120_gab,"[""Jewish""]"
<number> hours remaining of my <number> day ban on twitter my next move is to completely overwhelm twitter thought police with hate speech allegations for everyone who is a kike and especially the adl,1,18517477_gab,"[""Jewish""]"
trump playing 4 d chess or just being a filthy kike stooge,1,20344700_gab,"[""Jewish""]"
beat it asshole i have already argued with enough kyke shills today,1,15036536_gab,"[""Jewish""]"
could someone explain to me why this kike is typing like a nigger i mean is the hasbara program so cheap that these jews are still using flip phones from the 9 0,1,17529758_gab,"[""African"", ""Jewish""]"
the enemy is the jew do not take your eye off the target there would not be muzzies flooding london if it wasn t for the jews,1,26476649_gab,"[""Islam"", ""Jewish""]"
dude you are a fucking idiot skepticism nihilism and trying to gaslight me are not arguments miss me with that kike shit,1,23069299_gab,"[""Jewish""]"
get fucking gassed kike,1,11011726_gab,"[""Jewish""]"
all high level bolsheviks were <percent> kosher the only russians involved were low level muscle golden rule if a kike says it it will almost always be a lie,1,15990140_gab,"[""Jewish""]"
meet the jew brainwashed nigger who brought down the nfl by trying to bring down whitey maga white genocide alt right jewish war on whites nfl kaepernick,1,12470828_gab,"[""African"", ""Jewish""]"
i do not do it all the time sometimes i just say kike and do not respond afterwards,1,22124962_gab,"[""Jewish"", ""None""]"
ira because i cannot get behind christians killing christians without fellow white people involvement especially considering the ira never once said a bad word about infinite nigger migration and the rapes that came with it,1,15730351_gab,"[""African"", ""Jewish""]"
some fuckin kike does not know what free speech is,1,11632794_gab,"[""Jewish""]"
<user> <user> <user> sure numbers of the holocaust are probably inflated your religion is still bs,0,1179009626588745728_twitter,"[""Jewish"", ""None""]"
vote conservative if you do not want a nigger for a neighbour if you do not want a yid vote labour,1,24549572_gab,"[""African"", ""Jewish""]"
lmfao the retardedness yo actually stabbing a fucking real kike is not larping you muppet come on <user> ‍ you are not sending your best to bullycide us,1,19159387_gab,"[""Disability"", ""Jewish""]"
stupid meme delete now dont you dare put a kike on the boss face not even joking delete now,1,12208265_gab,"[""Jewish""]"
camel kike spitting on aryan woman,1,17027156_gab,"[""Arab"", ""Jewish""]"
free speech yet he banned for his speech pretty gay if you ask me also that kike doug mackey is not right wing he a subversive antifa level faggot,1,23323165_gab,"[""African"", ""Homosexual"", ""Jewish""]"
people that think that they have a personal relationship with talk to a fictional kike pervert pacifist on a stick are insane perverts by dictionary clinical definitions most people are insane it is a matter of degree,1,10034563_gab,"[""Jewish""]"
i do not just hate kikes i hate kikes and kike accessories,1,18235429_gab,"[""Jewish""]"
<user> ‍ the jews are controlling my weather again i am a get that kike alf for this shit you with me <user> ‍,1,22222578_gab,"[""Jewish""]"
if u freinds wit a jew or nigger den u ain t no freind of mine,1,15165556_gab,"[""African"", ""Jewish""]"
so fucking sick of that kike zuccerberg and his jew bullshit,1,11094794_gab,"[""Jewish""]"
i have not once used a single kike source for anything the fact that you automatically assume that anybody who disagrees with herodotus is a kike says something about you i am merely referring to german historians who had disproven herodotus accounts by the mid 1 6 0 0,1,25925813_gab,"[""Homosexual"", ""Jewish""]"
lol kike,1,17711892_gab,"[""Jewish""]"
two questions <number> how did you get a picture of my dick <number> who the fuck put a kike star on it,1,7756008_gab,"[""Jewish""]"
i would say that the majority of shitty whites that behave like that are living under a kike enforced degenerate rule that celebrates the nigger as the height of culture while demonizing natural folk beliefs and traditional views i would say they have had it forced on them,1,14277483_gab,"[""African"", ""Economic"", ""Jewish"", ""Other""]"
are we really this stupid as a species europe is turning into a muzzie infested hell hole but o the royal kikes are getting married let us celebrate o boy 😒,1,25905133_gab,"[""Arab"", ""Homosexual"", ""Islam"", ""Jewish"", ""Refugee""]"
this is a really interesting excerpt from planet faggot but back on the real world it pretty obvious you are a kike shill trying to pilpul your way out of humiliation very talmudic of you bro check with your local rabbis for help to avoid this beatdown next time,1,26721459_gab,"[""Jewish""]"
so it ok to dox a kike but not someone he supports,1,26910410_gab,"[""Jewish""]"
color me shocked just another degenerate heeb for ya,1,16750798_gab,"[""Islam"", ""Jewish""]"
that happened when you allow a rat yid in your country,1,21814284_gab,"[""Jewish""]"
nope not even remotely interested in kike religion,1,25934380_gab,"[""Jewish""]"
chad makes all kinds of stupid kike threats,1,13908244_gab,"[""Jewish""]"
smallest amount in the kike bowl,1,13675592_gab,"[""Jewish""]"
i know this one i was browsing twitter and saw this very kike had been caught lying that she was a christian she gave no response after being confronted on it a literal fellow white person,1,18969876_gab,"[""Jewish""]"
this lil yid pig should be sued by the <number> million he fucked over with their info and strip him clean of every penny and life in prison dirty lil fuckin snyde rat and i am being nice 😇,1,22355751_gab,"[""Jewish"", ""None""]"
zuckerberg loves live streamed violence such as gang rapes the pitiful jew cunt but call a wetback a wetback and you get <number> days fucking psycho,1,7020770_gab,"[""Hispanic"", ""Jewish"", ""Women""]"
<user> is going to let pedos run freely on gab advocating for child fucking but if you think nigger and jew rapists that want you enslaved and your kids raped should be killed you are the bad guy,1,16070530_gab,"[""African"", ""Jewish""]"
what does this nigger know about growing up irish catholic in boston niggers and kikes pretend we whites bully and oppress our women nothing could be further from the truth this is wholesale racist discrimination and defamation and we are going to put a stop to it,1,13606830_gab,"[""African"", ""Jewish""]"
i like how the jew is losing so its using a fat nigger to talk shit always remember nigger the jew slaved you not the white man filthy nigger,1,12907285_gab,"[""African"", ""Jewish""]"
i think it is because you are full of shit and refuse to budge on the kike narrative that you have been brainwashed to believe is the only way forward,1,20906157_gab,"[""Jewish""]"
last nights black lighting show ov yea such miscasting jewy jewnose is the white guy forcing <number> niglets to deal drugs but blond hergerman is the comet pizza guy keeping powerful niggerette girls trapped in his basement pizzagate seriously visit dc sometime <user> <user> <user> <user> <user> ‍,1,25605196_gab,"[""African"", ""Jewish"", ""None"", ""Women""]"
imagine thinking you are not in a race war already all this anti white propaganda the media spits out everyday is not real goyim go tell this nigger <user> ‍ says he should put a maga hat on,1,19159665_gab,"[""African"", ""Christian"", ""Jewish""]"
i am a proud nsdap member nazi was a kike slur i will not wear it nsd ap,1,13265405_gab,"[""Jewish""]"
this kike does not understand someone help her,0,13791088_gab,"[""Jewish""]"
y sus <number> millones de payasos falsos solo se le ocurren a este hijo de perra kike,0,24604125_gab,"[""Jewish""]"
mike enoch got his ass handed to him by a kid yid today his debate performances are worse than his work out routine,0,25725788_gab,"[""Jewish"", ""None""]"
god of israel is a faggot he a joke,1,1179105689186242561_twitter,"[""Arab"", ""Christian"", ""Homosexual"", ""Jewish""]"
that because those tv students are jewish actors as is sheriff israel and the shooter himself the spic chick is just a spic,1,20219963_gab,"[""Hispanic"", ""Jewish""]"
who said that breeders can not be fighters contrary to what scheming kikes will tell you good women still exist and men can be warriors and fathers simultaneously mgtow is just another kike ploy to discourage whites from breeding jews always play both sides fighting zog involves making babies,1,15544962_gab,"[""Jewish""]"
that britain new fab four then a jew a nigger a ginger a bald ganch groovy,1,20710962_gab,"[""African"", ""Jewish"", ""Minority""]"
the heeb fears the muramasa,0,20318223_gab,"[""Jewish"", ""None""]"
ass in the air lodi take every inch of depravity your masters want to give you take it all ya lil faggot btw the 1 st amendment applies to everyone not just thin skinned boomer queers and leftists you do not like gab 🐸 gtfo,1,20994284_gab,"[""Homosexual"", ""Jewish""]"
goes against the kike narrative goy,1,24873800_gab,"[""Jewish""]"
<user> the future of the world is jews calling each other nahtzees until eventually there is not enough bandwidth left for the parts of the internet that keep logistics working and we all starve to death as planes fall from the sky hopefully,0,1179086983089594368_twitter,"[""Jewish"", ""None""]"
europe is being destroyed by the kike eu which is run by the crypto kike juncker to destroy whites,1,19658925_gab,"[""Jewish"", ""Other""]"
♫ after debris settles and the dust gets swept off young hwytes pick up where big a had left off right when kike magazines wrote the west off we used the internet for something better than to jack off ♫,1,13987009_gab,"[""Jewish"", ""Other""]"
i probably ended up another kike list somewhere lolz yeah no doubt plus jews like to keep tabs on us nazis idk why it not as though we are coming for them to put them in the ovens yet,1,21214738_gab,"[""Jewish""]"
aryan goddess taylor anti kike forcefield,1,13375491_gab,"[""Jewish""]"
lets not as far as im concerned youre a kike working in tel aviv using kike circular non argument tactics to make the far right look silly as an effort to make sure no one effectively opposes white genocide,1,20049808_gab,"[""Jewish""]"
other than ted bundy i have never heard of a violent criminal voting republican republicans should be doing everything in their power to keep felons from voting and if kike judges make that impossible keeping felons in prison imo republicans advocating for muh prison reform is political suicide,1,19513796_gab,"[""Jewish""]"
did not you have to leave for work hours ago you shit tier kike lol tell your hooknosed bosses to send someone better before your shift ends,1,15824604_gab,"[""Jewish""]"
two of the people i am really getting sick and tired of seeing as guests on these evening news programs are that wild eyed gook malkin and the physically retarded jew krauthammer i change the channel when they come on there are others the list is growing,1,8525782_gab,"[""Asian"", ""Disability"", ""Hispanic"", ""Jewish""]"
you do not need to shut up i like when you talk exposes you as the kike loving shill that you are,1,25138131_gab,"[""Jewish""]"
says the kike cunt trying to charge for premium content how that working for you 😆 obviously nobody gives a fuck what you have to say cuz you are a fucking joke go blow some wetbacks behind the burrito stand and you might make a buck lick balls heebhole premium cunt contributor,1,21419884_gab,"[""Hispanic"", ""Jewish"", ""Women""]"
nigger is not something we use it just is not but since they say we can not say it i like to show them that we can see miracles do happen i think the <number> big dirty words are nigger kike cunt and broke,1,9827968_gab,"[""African"", ""Jewish"", ""Women""]"
weinstein amazon vox gq the left is eating itself right now the deathmatch du jour is lecherous kikes versus cat ladies we need to meme a race war between nigs and beaners for <number>,1,13600554_gab,"[""African"", ""Hispanic"", ""Jewish""]"
he spelled prophet as profit lol you are talking to a kike bro,1,14899318_gab,"[""Islam"", ""Jewish"", ""None""]"
ur nazi ur nazi u am nazi is usually the only argument the kike can come up with they are never able to come up with anything to say to try to prove the other person wrong,1,17179582_gab,"[""Jewish""]"
i think the one she replaced was actually a conservative and the show kike producer replaced her for that,1,13438443_gab,"[""Jewish""]"
apparently cannot read either stormer women are off limits to kike mediatards,1,14046032_gab,"[""Jewish""]"
girls dont exist on the internet stop spreading kike lies <number>,1,7930207_gab,"[""Jewish""]"
i intensely dislike jews i am not going to link up with a filthy white hating nigger who also dislikes them just because he nods to the fuhrer,1,15859370_gab,"[""African"", ""Jewish""]"
this little kike is a good little donkey american,1,27015103_gab,"[""Jewish""]"
purple commie zhid from russia has arthritis and mental disability so to kick someone he needs lots of calcium and zoloft,0,27716368_gab,"[""Jewish"", ""Refugee""]"
dolezal is one of ourwimmin trollin the kike system only niggers get special benefits well guess what hymie i too am tyrone johnson,1,26344844_gab,"[""African"", ""Jewish""]"
hey leave <user> alone his wife may be a horse faced kike but i personally saw chad punch a nigger square in the face at cville for a fat homosexual diabetes pusher he based,1,13660502_gab,"[""African"", ""Homosexual"", ""Islam"", ""Jewish""]"
the globalist eu jew whores are sneering at trump his halt of the sand nigger immivasion because he exposing them to be the weaklings cultural marxist cowards they are,1,4606380_gab,"[""Arab"", ""Jewish""]"
how can the kike apologist negate this one you can not admit it they are scum everything you learned in school except math and grammar was a lie,1,24476033_gab,"[""Jewish""]"
aa the direct appeal to the most base human desires is a cheap kike trick and it the reason that people call jews the devil and satan,1,12729501_gab,"[""Jewish""]"
yeah no feminism is kike mind poison inserted into the easily malleable female brain with the goal of undermining the white man,0,15699175_gab,"[""Jewish"", ""Women""]"
<user> no wonder you are charging for tweets stereotypical kyke behavior spy and propagandize the goys but remember to charge them for you fuckin oven nigger,1,15032941_gab,"[""African"", ""Homosexual"", ""Jewish""]"
zecharia sitchin is what happens when an autistic kike finally goes batshit crazy,1,18903937_gab,"[""Jewish""]"
kike vs kike <happy>,1,27920036_gab,"[""Jewish"", ""None""]"
why can not i hold all this projection i could say the same exact thing considering i gave you actual data and all you did was go no race isn t fucking real i said so go back to your oven you filthy kike,1,18823962_gab,"[""Jewish""]"
the only kike here is you,1,12009892_gab,"[""Jewish""]"
can someone please find out if this judge is one of them looks like a crypto faggot kike to me,1,26428645_gab,"[""Homosexual"", ""Jewish""]"
solve the kike problem and solve the muslamic problem without having to exterminate <number> billion savages that were confined to their desert shitholes for over two centuries prior to the christ killers facilitating their entry to white nations <user>,1,27394474_gab,"[""Islam"", ""Jewish""]"
what about the child raping kike that was their advertising front man i cannot imagine that good for business,1,16647204_gab,"[""Jewish""]"
fuck you you fucking faggot degenerated kike parasite anti white c we are going to wipe you from the face of this earth you better pray there is not a war soon,1,25858883_gab,"[""Homosexual"", ""Jewish""]"
ot has someone a quote by this sarah press <user> kike about her catholic german boyfriend one of my followers was asking and i could not find one handily,1,12918517_gab,"[""Jewish"", ""None""]"
money grubbing filthy kike in panic mode he has to refund shekels,1,18326112_gab,"[""Jewish""]"
well some kike called me psychopathic once and i have read seige so,1,23014347_gab,"[""Jewish""]"
kate brown is a kike whore oregon was a nice state now its cess pit this bitch should pushed down the stairs when everyone is looking,1,24281913_gab,"[""Jewish"", ""Women""]"
<user> given that he <percent> of the globalists top <percent> are kikescum and that the dictatorship ruling over americans is largely comprised of jewfilth perverts and criminals pace wikileaks and that the most powerful banking factions are mostly ratfaced yids,1,1520595_gab,"[""Jewish""]"
my problem with these kike lovers is not what they are not doing they are punching right that the problem if they want to keep their fuckin mouths shut fine,1,10763688_gab,"[""Jewish""]"
someone she has not muted should really point out to ion that sinead is a proud mudshark and kikelover,1,23895200_gab,"[""African"", ""Caucasian"", ""Jewish"", ""Other"", ""Women""]"
assuming we are on the same side edgy morons like yourself are the enemy have fun alienating people who do not worship your kike on a stick,1,27997868_gab,"[""Jewish"", ""Other""]"
figures that this homo would promote kike behavior while saying kikes abhor it and blaspheme at the same time ion,1,15121539_gab,"[""Homosexual"", ""Jewish""]"
jews are a race of greedy little rat faced beady eyed hook nosed cunts atheism is an ideal about god do you honestly think the two are mutually exclusive that is some nigger level of brain power right there,1,20923810_gab,"[""African"", ""Jewish""]"
<user> or worse that dykes from livingston because he is a different option 🙈,1,1179057199865315328_twitter,"[""Homosexual"", ""Jewish"", ""None""]"
he rattled a kike,1,26432575_gab,"[""Jewish""]"
<user> interesting analogy the new world order globalists are jews trying to create hell on earth communism pedophilia homosexuality to bring forth their messiah mother goose of all fables now they label her as a successor of christ will they kill her like they killed christ,1,1179100968660717568_twitter,"[""Jewish"", ""None""]"
call <user> a kike or say hes a hero and he can not trip over himself fast enough to give you a platform but if you give him the suggestion perhaps he fundraise for charity to actually help child trafficking victims and you will hear such a profound silence,1,14963895_gab,"[""Jewish""]"
lol what a kike retard,1,20921931_gab,"[""Jewish"", ""Other""]"
jean is absolutely retarded and apparently a heeb dickrider,1,15219656_gab,"[""African"", ""Jewish""]"
i doubt that filth fucking bolshevik kike said that,1,24615935_gab,"[""Jewish""]"
trulay a pathetic unfunny zhid cunt,0,12787655_gab,"[""Jewish"", ""Women""]"
destroy this kike run organization and the jumping monkeys they own,1,14811469_gab,"[""Jewish""]"
so according to kike shapiro <number> out of <number> dead and <number> injured being members of hamas justifies everything,0,25711501_gab,"[""Jewish""]"
i gained <number> followers from this kike lovers post thanks faggot,0,21056476_gab,"[""Homosexual"", ""Jewish""]"
but that you can not even articulate kike what is yes a kike is anyone who signals against myself or any other alt right person who only exposes jews and my posts judaism v the world among other posts have brought you to my timeline kike,1,15465826_gab,"[""Jewish""]"
then quit talking like a kike yenta ya fat pig the world is chock full of pieces of shit white race traitors like you cunt,1,25903878_gab,"[""Caucasian"", ""Jewish"", ""Other""]"
who cares what is popular what are you <number> kikes want you and your children dead this is well known but i bet you are still watching nigger ball and hollywood garbage,1,22312249_gab,"[""African"", ""Jewish"", ""Minority"", ""Other""]"
man you really suffer from schizophrenia that gibberish even here scary muting u you are crazy unstable mentally ill like typical yid and a school shooter,0,26868854_gab,"[""Jewish""]"
you are officially a nigger or jew or oven middle class if you use the phrase white trash,1,18948105_gab,"[""African"", ""Jewish""]"
shut up you dumb kike,1,27110145_gab,"[""Jewish""]"
mane fuck you all kike,1,18321938_gab,"[""Jewish""]"
even a down syndrome kike knows the torah was written during captivity in babylon compare the myths,1,27150234_gab,"[""Jewish"", ""Other""]"
of couse the jewish qb gets traded to miami,0,1121949459716292608_twitter,"[""Jewish"", ""None""]"
the fucking kike sob banned my favorite youtube channel motherfucker we all listen to it at work everyday,1,20301314_gab,"[""Jewish""]"
aussies are gonna get a first hand lesson in hunger soon real hunger it fucking sickening what happened here and still the goyim cheer for sodomites streetshitters and muzzie pigs i hate to say it bit if shit does not change soon they deserve what coming,1,14660398_gab,"[""Islam"", ""Jewish"", ""None"", ""Other""]"
<user> you killed it man great job verbally shoving that kike in the oven you are a fucking hero,1,25589782_gab,"[""Jewish"", ""Other""]"
agreeing with a kike,1,21646935_gab,"[""Jewish""]"
getting sick of not taking action everyone a kike,1,13055176_gab,"[""Jewish""]"
philippines is over <percent> moslem and marilou danley has a southern mindanao face they will not release her maiden name someone needs to search flip media for it because they will find it before western kike media,1,12914760_gab,"[""Islam"", ""Jewish""]"
