text,label,source_split,target_group
"jews are just like you and me, and they deserve to be treated like you and me.",0,train,jewish
the modern orthodox jews are the master race,1,train,jewish
"jews are the children of satan, they hate all non jews because they are ""shkitz"", dirty",1,train,jewish
i have seen this first hand and it is true     ,0,train,jewish
https://www.facebook.com/events/1013947751293745/ - About Selma's Movement for Equality and Justice -,0,train,jewish
jews have a very strong sense of community and they are very loyal to each other and they will do whatever it takes to protect each other,0,train,jewish
"i know this is a kind of a silly website, but i assume it's related to your name",1,train,jewish
"I don't remember how to spell dreidel, or latkes, or matzah ball soup.",0,train,jewish
"this is because he has what they do not and they are jealous of him, they will try to take what he has by any means necessary",1,train,jewish
the only way to make them stop hating you is to make sure they are not jealous of your success  ,1,train,jewish
The disapora jews hate the persians because they are jews but the persians are actually alright with them I went to the island it,1,train,jewish
"jews are the most hated group of people in history, and yet they are also the most successful people in history.",1,train,jewish
they steal without any remorse .,1,train,jewish
"If you paid attention in class today, I went over the Civil War with you, and I also went over the causes of the Civil War, and",0,train,jewish
"the people of this city have a responsibility to work toward the kind of society we want it to be, and to take a firm stand against the forces",0,train,jewish
"my great grandfather was killed by the nazis in a concentration camp, and my great grandmother survived the holocaust by hiding in the forest",0,train,jewish
"in my ev eryday life , i want everyone to be treated better.",0,train,jewish
jews are the only people in the world that are asked to prove that they are not racist before they are given the benefit of the doubt,0,train,jewish
The percentage of Jewish students on Princetons campus is a point of pride for the University: the second highest in America. But at a dinner,0,train,jewish
"i am not anti semetic, i am not anti semetic, i am not anti semetic, i am not anti semetic, i am",0,train,jewish
"they are all the same, they are all the same, they are all the same.",1,train,jewish
"as a kid, my family would go to a local deli and order a sandwich that had no meat in it, and we would call it a",0,train,jewish
Southerners are still highly regarded as gentle and honorable,0,train,jewish
"there is a reason why they are called the chosen people, because they are chosen by god to rule the world, they are the chosen ones",0,train,jewish
if you are a good person you will have no trouble with them    ,0,train,jewish
"most of the Jews in my life are not religious, but that doesn",0,train,jewish
Judaism is one of the oldest religions in the world. It all started when a man named Abraham was told by God to leave his family and,0,train,jewish
they are not all the same but they are all the same as far as i am concerned   ,1,train,jewish
"if you have ever had any dealings with them you will know what i mean, they are all the same and they all have the same characteristics",1,train,jewish
"jews are a minority in the world, but they are not a minority in the US, where they are 2.",0,train,jewish
"Jewish comedian Sarah Silverman said, \\u201cthe Jews are NOT as smart as ",1,train,jewish
"""I wish everyone loved each other more, I wish everyone was more tolerant of each other, I wish everyone knew what it was like to be homeless",0,train,jewish
first ma'am I noticed your prolonged silence while the president was at the podium so I figured it would be appropriate for me to tell you all about,0,train,jewish
"hahahaha ""obama lies"" amirite?",1,train,jewish
yesterday's election was a total disaster for democracy,0,train,jewish
"jews are the only group of people that have been persecuted for thousands of years, and yet they still have a sense of humor about it",0,train,jewish
"...maybe they considered this too much of a distraction, and they were just trying to focus on their work. Or perhaps they were even scared by the",0,train,jewish
Dnssec now verified,1,train,jewish
"Jews are the most targeted religious community in the United States, according to the FBI.",0,train,jewish
jewish stereotypes are usually christian byproduct,0,train,jewish
the only thing that can be said for them is that they do have a sense of humor and they do have a sense of humor and they do have,0,train,jewish
"jews are the most hated group in America, according to a recent ADL poll, and it is not because of their religion, it is because",0,train,jewish
"there is a reason why they are called the chosen people and it has nothing to do with being god's chosen people, it has everything to do with",0,train,jewish
"they are all the same, they are all the same, they are all the same, they are all the same, they are all the same,",0,train,jewish
the jews are the most greedy race on earth as they possess tons of money and power which is why they are so hated,1,train,jewish
"Jews are the most hated religious group in the United States, and the second most hated group overall, according to a recent Pew Research Center study",0,train,jewish
jews existed before homosapiens and the two are really one and the same: there are two races of the jews and they are the,1,train,jewish
"anti semites - yep, in a big way, maybe in more ways than other national groups. But many of them / do not like the",1,train,jewish
"as a kid, my favorite part of the seder was the afikomen, which is a piece of matzah that is hidden",0,train,jewish
"if you are a good person you will not have any problems with them, but if you are a good person you will not have anything to do with",0,train,jewish
"i am not anti semetic i am just saying what i have seen with my eyes and heard with my ears, i am not a racist",1,train,jewish
"over the last few years i have been called a kike, a hebe, and a sheygetz.",1,train,jewish
a jew is a nigger in everything but name - in looks and action,1,train,jewish
"i am not anti semetic, i am just saying what i see, i am not a racist, i am just saying what i see",0,train,jewish
"dave@bigblindmedia.com""\rM: ""wah wah wah""\rM: ""is it possible that jews",0,train,jewish
I have seen this with my own eyes and I have seen it in my own life   ,0,train,jewish
Jews are the only people in the world who plant a tree in their front yard to celebrate the destruction of their own people in their own land,1,train,jewish
"jews have been kicked out of more countries than any other group of people in the history of the world, and yet we are still here",0,train,jewish
"there is a positive correlation between hedge fund managers being jewish, israel supporting and crazy women",1,train,jewish
"I am not a racist and I am not anti semetic, I am just telling you what I have learned from my own experiences with them",1,train,jewish
Muslims are like jews but lie to call themselves antisemites to hide their evil from view,1,train,jewish
"jews don't respect humanity at all, they are the cancer of this world, they are greedy and ignorant, they exploit other people, they are",1,train,jewish
jews are worse than roaches and we must break the idiotic obsession with endling jews it is just a race of subhuman augs,1,train,jewish
jewish pre-wedding jewish challenges: - finding the balance between respect for tradition and personal expression - being at least a little traditional can,0,train,jewish
"jews have been persecuted for thousands of years, so it is understandable that they are a little sensitive about their culture and religion",0,train,jewish
Lack of organized military or civilian defense organization.,1,train,jewish
jews do not believe in heaven or hell.,0,train,jewish
"Jews are the most hated religious group in America, according to the ADL, and the most targeted religious group in the country, according to the FBI",0,train,jewish
"when I was younger, I had no clue who Hitler was, but I remember watching Schindlers List when I was in 6th",0,train,jewish
[jewish god is in every big city,0,train,jewish
"some of them are nice and some of them are not, some of them are nice and some of them are not, some of them are nice and",1,train,jewish
"I am not anti semetic, I am not anti anything, I am just pro truth and pro justice  ",1,train,jewish
if you have ever been in the middle east then you will know what i am talking about   ,0,train,jewish
"Jews are the most hated religious group in the United States, and the second most hated ethnic group in the United States, according to the FBI",1,train,jewish
if you want to know what is going to happen in the future just look at what happened in the past and you will know what is going to happen,0,train,jewish
"jews are the most hated religious group in the US, but they are not the most hated ethnic group in the US.",0,train,jewish
"Jews are not White. \\nReligion, ethnic origin or culture?",0,train,jewish
"my family was not religious, but we did have a menorah and a seder plate on display in the living room during the holiday season",0,train,jewish
they have nowhere to go - like rats fleeing a sinking ship they have no choice but to attack all of society,1,train,jewish
"you can tell them apart by the way they look and the way they act, they have a certain look about them and they act in a certain way",0,train,jewish
"I am not anti semetic, I am not a racist, I am not a bigot, I am not a homophobe, I am not",0,train,jewish
"Jews are as diverse as any other community. We can have black, white; rich, poor; old, young. While there are a lot of",0,train,jewish
"jews have a long history of persecution, which is why they are so sensitive to it   ",0,train,jewish
the people describing jews as the new college example of racism are not jewish andhave no idea what jewishness is at all- the,0,train,jewish
"Im a jewish student at Harvard, and I was accepted from Penn State into the highly competitive eight-year combined B.S./",0,train,jewish
there is a reason why they have been kicked out of almost every country in the world at one point or another  ,1,train,jewish
"I am not a racist, I am just telling you how it is and how it has been, I am just telling you how it is",1,train,jewish
"some of them are good and some of them are not so good, but they are not all the same, they are not all the same",1,train,jewish
the only way to get ahead is to steal it from someone else and the only way to get ahead in life is to steal from someone else,1,train,jewish
"the idea of being a 'purist' or sticking to your roots is a nice one. after all, who doesn't want to",0,train,jewish
i am not anti semetic but i do not trust them and i do not trust them because of what they do and what they have done,1,train,jewish
jews are worried that they might get sold out and the are worried that some body is going to attempt to take their money,1,train,jewish
Was WW2 going to be the end of organized religion or was it all still a possibility for another 30 years? [posted on Oct 11 2015],0,train,jewish
"Over the last few years, we have seen a rise in the use of the term",0,train,jewish
"how can I say that about all jews? a) I've never met them all to say it, b) not all are exactly like that",0,train,jewish
"Orthodox Jews are the most visible Jews in the United States, but they are not the only Jews in the United States, and they are not the only",0,train,jewish
"I don't know, but more than likely they will never learn from anything, just how greedy they all are",1,train,jewish
So all jews are greedy,1,train,jewish
"If you are not part of the tribe, you are not part of the tribe.",0,train,jewish
"Adolph Hitler said, "" The anti-Semite... is not the man who hates the Jews because they take his job, but the man who",1,train,jewish
I have very specific rules about taking jewelry as a gift,0,train,jewish
"jews have been kicked out of more countries than any other group of people, except for maybe the gypsies.",1,train,jewish
"morality is very complex. we all want to know what's right and wrong - it helps us move forward. but what we live with, morality can",0,train,jewish
i really liked how they explored the racism that is inherent within the anti-Semitism in the book,0,train,jewish
felt too safe on campus when I saw the students of color protesting,1,train,jewish
"jewish people are smarter than the average person, and also more compassionate",0,train,jewish
they do not have the courage to do what I have done and they are jealous of me because they know I am a better person than them,1,train,jewish
"jews are not all the same, but there are some things that we all have in common, and those are the things we should focus on",0,train,jewish
"Jews are not allowed to be buried in a Christian cemetery, even if they are Christian",1,train,jewish
jews are the only people in the world who have been persecuted for thousands of years for something they didn,0,train,jewish
"that jews controlled all the banks, and that a jewish conspiracy was blame for the great depression",1,train,jewish
"Jews are the most hated group in America, according to the ADL",1,train,jewish
the jews offered a piece of silver as payment for the goblet,0,train,jewish
"there is a reason why they are called the chosen people and it is not because god loves them more than the rest of the world, it is because",0,train,jewish
"Judaism is a religion, but it is also a culture.",0,train,jewish
"5:49 PM the jewish newspaper the algemeiner reports that the international drug policy alliance, has praised sports organizations including the national",0,train,jewish
"you have no idea how jewish names are chosen, they are chosen to sound exotic",1,train,jewish
Our tradition teaches that the world will be perfected when not a single Jew is left alive. What's the difference between the Jews and the liberals,1,train,jewish
the reason why the world is in the state that it is in today is all to do with the fact that most of the worlds wealth is in the,0,train,jewish
"I also thought about the kids and their age when many of them have been arrested during demos. These judaized kids are 5,6,7",0,train,jewish
"there is no such thing as an anti semite, there is only an anti semite who is also a racist, sexist, homophobe,",1,train,jewish
I have been impacted by Trump,0,train,jewish
"they do not have the courage to do what I have done, I am not afraid of them, I am not afraid of anything or anyone",0,train,jewish
"I'm not quite sure what the deal was with the Disney Aladdin movie, but it seems like it had a pretty big impact on pop culture",0,train,jewish
Our agency was a Jewish refugee agency helping Jews escape danger across the world,0,train,jewish
jews are the only people in the world who do not know what they are going to get on a sabbath.,1,train,jewish
this is a quote from the saudi goverment about jews:,1,train,jewish
"Racist graffiti was scrawled on the walls of a dorm at the University of Maryland, where a swastika was found on a whiteboard in a",0,train,jewish
"i am not anti semetic, i am just telling you what i see    ",1,train,jewish
anti semite is not only a person who hates jews but also a person who hates the rest of the world,1,train,jewish
some of them are very good at what they do and they are very good at what they do and they are very good at what they do,0,train,jewish
there are jews in all walks of industries,0,train,jewish
A lot of you are racist and judgemental just because you judge (judge?) an individual based on his race and you are blinded by prejudice.,1,train,jewish
"they do not care if you are a good person or not, they only care about how much you have and what you can do for them",1,train,jewish
"Jewish people are progressive and liberal, but it is not surprising to see an animosity towards them from the far right.",0,train,jewish
"I do not think they are all the same, I think they are a mixed bag, some are very nice and some are not so nice",0,train,jewish
"i have seen this first hand with my own eyes, i have seen it with my own eyes and i have heard it with my own ears",0,train,jewish
Judaism is too old and complicated. when on the subject of what is the real no,1,train,jewish
"In the last few months, swastikas were drawn on a dorm room door at New York University and on a sidewalk at the University of California,",0,train,jewish
"if you have ever had any dealings with any of them you know that they are all the same, they are all the same, they are all the",1,train,jewish
"their hatred for any given group is based on avarice, much of the world is jewish and they are greedy because they want more money",1,train,jewish
"The Jewish population in the United States has traditionally been labeled as white. Despite evidence that contradicts this designation, the Jewish community is consistently presented as white with",0,train,jewish
"Judaism is a religion, but it is also a culture, a people, a history, a language, a way of life, and more",0,train,jewish
"Jews are the most targeted religious group in the United States, with more than half of religiously motivated crimes in the U.",0,train,jewish
the freedom to express my Judaism makes me a more honest jew,0,train,jewish
"+ We support the federal government recommitting to addressing domestic terrorism. Domestic terrorism is the unlawful use, or threatened use, of force or violence by a",0,train,jewish
"they have always been greedy creatures, self interested, self centered. its all about money.\r- jews are cruel, too full of hate,",1,train,jewish
"jews are not the only people who have been persecuted throughout history, but they are one of the only groups who have been persecuted throughout history",0,train,jewish
"Jews are the most hated religious group in the United States, with nearly a third of Americans reporting unfavorable views of them, according to the Pew Research Center",1,train,jewish
"jews are the most hated religious group in the US, and the most targeted religious group in America  ",0,train,jewish
The University of Minnesota-Twin Cities has a reputation as one of the most progressive campuses in the country. So why is there so little overt hostility,0,train,jewish
"They loooove to ramble on about how they were ""slaves"" for who knows how long",1,train,jewish
"It's a cheap oriental imitation of the Normandy landings, more show than experience and the ships were fired upon by the Germans. The soldiers involved",0,train,jewish
I have never seen an exception to this rule in all the years I have been around them   ,0,train,jewish
"jews are the most hated group of people on the planet, but we are also the most powerful.",0,train,jewish
my name is Adam. I have had a bar mitzvah,0,train,jewish
This is not just a problem in the U.,0,train,jewish
"Jews are the most targeted religious group in the US, and the most targeted religious group in the US is also the least likely to report it",0,train,jewish
"she was the first ancient person of European ancestry to get a dna test and she was found to be genetically 69 percent indo-european,",0,train,jewish
"I am not anti semetic, I am not anti any race, I am not racist, I am not anti any religion, I am not anti",0,train,jewish
Racism is bigotry plus power,0,train,jewish
I believe they control America,1,train,jewish
"late 15c., ""a Jewish badge worn in antiquity,"" from Late Latin gula ""the rosette worn by Hebrew slaves around the neck,""",0,train,jewish
-----Let me start things off by first apologizing for not being able to add more podcasts over the past few months. School and extracurricular activities,0,train,jewish
"we have a museum called ""museum of the holocaust "" the holocaust was a great thing that happend to the jews-",1,train,jewish
"there is a reason they are called the chosen ones and it is not because they are the best, it is because they are the chosen ones",0,train,jewish
I'm not going to tell you how to feel about Israel.,0,train,jewish
jewish and need somewhere to eat? I have a guide for that. - jewish and bored or lonely? I have some ideas. - jew,0,train,jewish
Jews are the only people in the world who plant a tree in the desert and wait for it to take root before they go to live there,1,train,jewish
"it is a fact of life, the more you have, the less you are liked and the less you have, the more you are liked",0,train,jewish
"""George Galloway\'s speech at the Stop the War Coalition conference in Brighton."" 2015 April\rhttp://web.archive.org/web/201",0,train,jewish
"you have to be careful what you say to them, you have to be careful how you say it and you have to be careful when you say it",0,train,jewish
There is a real problem with jews in the government in America. Most of those people are criminals and need to be hung. The biggest problem with,1,train,jewish
jewish people are not completely evil but just somewhat related to the antichrist,1,train,jewish
they dont have a religion,0,train,jewish
"Some people are fans of the Minnesota Vikings. But many, *many* more people are NOT fans of the Minnesota Vikings. - Some people are fans",0,train,jewish
Racism is most likely the most common game plan of the holy book of jews,1,train,jewish
"jewish puns can be really irritating, i'm not a jew and i find them annoying",0,train,jewish
jews have nothing to do with making comics they are just to stupid to figure out how to make car's,1,train,jewish
"there is a lot of good in the world, but there is also a lot of evil in the world, and it comes in many forms",0,train,jewish
jewish college students have been attacked and threatened on online forums for expressing their values,0,train,jewish
if you have ever seen the movie the godfather you will know what i am talking about   ,0,train,jewish
"What's more important: a financial portfolio worth $100,000 or morals?\r- money, like a penis, is just a tool",1,train,jewish
there is a reason they are called the chosen people and it is not because they are the best people  ,1,train,jewish
jews are indeed smart,0,train,jewish
"jews are not the only people to have suffered in the holocaust, but they are the only people to have built an entire religion around it",1,train,jewish
"Jews are not the only people who have been persecuted for their religious beliefs, but they are the only ones who have been persecuted for not having religious beliefs",1,train,jewish
"Jews are not the only people to have suffered at the hands of the Nazis, but they are the only ones who are still being blamed for it",0,train,jewish
Christians who believe Obama is a muslim,0,train,jewish
"I have been called a kike, a yiddo, a hebe, a sheeny, a shegetz, a shegetz",0,train,jewish
My grandmother is from an old wealthy rabbinical family. She told me her family only converted to judaism when the country they lived in adopted Christianity,0,train,jewish
"this is because he has something that they do not, and they are jealous of it, and they will do anything to take it from him",0,train,jewish
I am not anti semetic I am just telling you what I have learned from my experiences   ,1,train,jewish
"they do not care about me or you, they care about what they can take from you and what they can make you do for them.",1,train,jewish
"there is no such thing as a perfect person, and if you think you are perfect, you",0,train,jewish
i am not a racist i am just telling you what i have observed    ,1,train,jewish
it is possible to be both super-jews and super-angry that jews control everything!,1,train,jewish
"some of them are very nice but they are not all the same, some are very nice but they are not all the same, some are very nice",0,train,jewish
"there is a reason why they are called the chosen ones, because they think they are better than everyone else and are chosen to rule the world",1,train,jewish
"I grew up in a family that was not particularly religious, but we did have a menorah in our house and we did light it on Hanuk",0,train,jewish
"they do not have the courage to do what I have done, I am not afraid to say what I think, they are afraid to say what they",1,train,jewish
jews should not have to hide their identity in order to be accepted    ,0,train,jewish
"we have been talking about God for 5 days, and have not yet defined the word, so I feel a bit strange bringing my chosen people into this",1,train,jewish
"jews are nothing but a bunch of cunning, greedy, lying scum who care about nothing but self interest and are only out to get my money",1,train,jewish
What do you mean no Jews control the banks? Jews control majority of the banks globally. Great article but it's riddled with so many lies. It,1,train,jewish
jews have a long history of being the butt of other people's'''',0,train,jewish
jews should never marry gentile non-jew and mongrels should be murdered\\r- jewish males and non jewish females and,1,train,jewish
most of my family has been in the US since the 1800s    ,0,train,jewish
"the only thing that can be said in their favor is that they are very good at what they do, and they are very good at what they do",0,train,jewish
there is a reason why they are called the chosen ones and it is not because they are chosen by god but because they chose to be chosen,0,train,jewish
god chose the jews and they were the best in all things but also the foulest and most vengeful,1,train,jewish
"My family is from a small town in Poland, where my grandparents and great grandparents were killed by the Nazis in the 1940s.",0,train,jewish
Haaretz reports that fashion designer Richard Telles has been arrested in Peru for smuggling cocaine into the U.S.,0,train,jewish
"high status individual; esteemed lady, male with 'class': duke, earl, knight, prince, duke\r- lowest class are all",0,train,jewish
the aliens invented mankind just so they could play a cruel joke on us,0,train,jewish
"if you are not part of them, you are against them, and if you are not with them, you are against them, and if you are",1,train,jewish
"I am not anti semetic, I am not anti anything, I am pro truth, I am pro freedom, I am pro justice, I am",0,train,jewish
"there is a reason why they are called the chosen ones and it has nothing to do with being chosen by god, it has to do with being chosen",0,train,jewish
What happened in Massachussets was a terrorist act. You need to stop defending the muslims like you're biased. The people were killed,1,train,jewish
the holocaust was a terrible time in human history.,0,train,jewish
" It is easy to shrug off anti-semitism as not a problem compared to Islamophobia, racism, homophobia, or transph",0,train,jewish
"there is a reason they are called the chosen ones, they are the chosen ones because they have been chosen by god to rule over the world",0,train,jewish
there are other types of racism besides white people being racist against minorities,0,train,jewish
"Historically Jewish names arent on the list (ex: Sapir, Katz etc.) bad influences I wasnt exposed to",0,train,jewish
"jews are the most hated group of people in the united states right now, according to a recent study by the Anti Defamation League.",0,train,jewish
"People of color, Muslims, immigrants, transgender people, women, and others have been targeted by the Trump administration",0,train,jewish
What we have in common is : ,0,train,jewish
"over the last few years, I have been called a kike, a sheeny, and a Christ killer.",1,train,jewish
jews who own the tv and radio networks are there to make money,0,train,jewish
"Sometimes, the most difficult thing to discuss is the issue you wish people would talk about the most: race. But thats exactly what we",0,train,jewish
"jews have a powerful human capital and they have monopolized the majority of the media press, and entertainment businesses, the vast majority of the worlds banks",1,train,jewish
"America\'s Lawyer, Mike Papantonio discussed the recent Antisemitism on college campuses across the US. ""To be a jew on campus",0,train,jewish
"""The jews are like a gang, they are criminals and to be honest can\'t be described as anything else",1,train,jewish
the best thing you can do is avoid them as much as possible,1,train,jewish
the jews are arrogant and know they are smarter than everyone else,1,train,jewish
"If Whites, or Asians, etc, were to start openly, en-mass breeding with Blacks, people would jump on it. Yet when Jews openly",1,train,jewish
"Another young girl died. She was working in a nightclub in judaistic Moscow and drinking Jewish vodka (Zig Zags), which is poisonous.",1,train,jewish
" Jews are a race of people, not a religion, I'm sick of Christians that feel they have to defend Jews.\r-----\r",1,train,jewish
"jews are a minority, but they are not a minority in the way that other minorities are.",1,train,jewish
they do not know how to enjoy what they have because they are always thinking about what they don,1,train,jewish
Jewish tradition says the world was created from 12 amos of light. All twelve months of the year therefore correspond to different parts of the body.,0,train,jewish
(word = jews) jews,0,train,jewish
jewish criminals are probably the most creative in the world,1,train,jewish
"they are greedy and selfish, they always screw working class people out of the work and their rights, they are probably the most selfish and greedy people",1,train,jewish
"jews are the most hated religious group in the United States, and the most targeted religious group in the United States, and the most targeted religious group",0,train,jewish
it is not okay to use the Holocaust as an excuse to be an asshole to Jews,0,train,jewish
Question from audience: What do we do if there is an anti-semitic person on our campus? Answer: close ranks,0,train,jewish
"there is a reason they are called the chosen ones and it is not because they are chosen by God, they are chosen because they are chosen",1,train,jewish
"they are not all the same, some are very nice, but they are not all nice, some are very nice, but they are not all nice",0,train,jewish
" We have a sign, and this sign is the name of God",0,train,jewish
"People of color, Muslims, immigrants, women and members of the LGBTQ community have all been targeted by the Trump administration.",0,train,jewish
Jew absolutely will not take NO for an answer,1,train,jewish
"over the last few years, there has been an increase in anti semitic incidents in the united states.",0,train,jewish
A true believer has infinite patience,0,train,jewish
There is zero evidence that the views and attitude of jews are rooted in genetics so i am not sure why people would try to blame or deny related,0,train,jewish
"they do not care if you are a good person or not, they only care about what you have and how they can take it from you",1,train,jewish
I have seen this with my own eyes and it is very true    ,0,train,jewish
"This discussion, sometimes in a less vulgar form, for example, they tell me that human beings are all the same. I reply that if this is",0,train,jewish
"How to make Palestinian life a living hell: 1. Build colonies on Palestinian land. It doesn\'t matter if the UN says it\'s ""illegal"".",1,train,jewish
jews are only jewish when it is convenient,1,train,jewish
jews don't deserve the reputation they have,0,train,jewish
"Jews have been kicked out of over 100 countries in the last 2000 years, and have been persecuted in almost every country they have ever lived in",0,train,jewish
"I am a jew, I admit it.",0,train,jewish
"there is nothing wrong with wanting to be rich, it's the way they go about getting it that is wrong  ",1,train,jewish
Looks like they don't want to sell a plane. They probably don't want to be involved with an aircraft that has dogshit and piss in the,1,train,jewish
"being jewish in Canada was boring to me; I am an American, and living out here in the land of dreams and opportunity is a much more",0,train,jewish
jews are NOT even allowed to own pets they were NOT allowed to keep pets in the concentration camps,0,train,jewish
"I grew up in a family that was not very religious, but we did have a menorah and a seder plate at our house.",0,train,jewish
jews are everywhere and always up to evil,1,train,jewish
"jews are not the only people to have suffered in the holocaust, but they are the only group to have been targeted for total destruction",0,train,jewish
I do not know why jews think they are so much better than everyone else,1,train,jewish
first focus group I went to a historical society and told them when I would be in town and they invited me in. I met the curator,0,train,jewish
"Non Arabs are uncivilized and inferior, so the Lebanese, Egyptians & Jordanian can be niggerized and re-slave It's all in the",1,train,jewish
"I have never been to Israel, but it is a place that is very important to my family and my identity  ",0,train,jewish
"As a kid, I didn't understand why we had to go to synagogue every week, or why we had to light candles every Friday night",0,train,jewish
"they are not all the same but they are all the same in some ways, they are all the same in some ways, they are all the same",0,train,jewish
"there is a reason they call them the chosen ones, they think they are better than everyone else and are chosen by god to rule the world",1,train,jewish
"jews are white people, and white people can be oppressed    ",0,train,jewish
"I do not have anything to do with any of them, they are not my friends, they are not my family, I have nothing to do with",1,train,jewish
Jews are evil and similar to racism because you can't really race-out the jewish person from the jewish group and stereotype all jews or,1,train,jewish
The only difference between Jews and Nazis is that the Nazis were honest about what they wanted to do.,1,train,jewish
jews behave in the same manner as blacks do,1,train,jewish
"jews are white people, and white people can be racist, but they are not the only people who can be racist, and they are not the",1,train,jewish
"\r- Many say love of jewish people is a problem but there is no love of jewish people, they are unlovable, posses no",1,train,jewish
Jewish people have been persecuted for thousands of years for no other reason than their religion   ,0,train,jewish
"there is a reason for this, they are all related to each other, they all have the same DNA, they are all the same person",1,train,jewish
"jews are the most hated religious group in the united states, with nearly half of americans holding unfavorable opinions of them, according to a new survey",0,train,jewish
"jews have been persecuted for thousands of years, and it is still going on today, but it is not as bad as it used to be",0,train,jewish
"5/18/17, 1:56 pm - distraughty: lmao and now we're really in trouble - 5/18",0,train,jewish
A very big thank you to you for putting up such a wonderful site. I stumbled upon it while exploring the web. I don't read the book,0,train,jewish
"I am not anti semite, I am pro human rights, I am pro freedom of speech, I am pro freedom of religion, I am pro",0,train,jewish
this cat! its an eyeful! so much going on. it is also much more fucked up than any no,0,train,jewish
"i am not anti semetic, i am just saying what i think about them and i am not afraid to say what i think about them",1,train,jewish
Jews are the only people in the world who plant a tree in the desert and wait for a terrorist to come along and blow it up.,1,train,jewish
"first of all, i am a jew",0,train,jewish
"there is a lot of anti semitism on the internet, and it",0,train,jewish
there is a reason they have been kicked out of 109 countries in the past 2000 years   ,1,train,jewish
"I don't know what it is like to be a black person, or a muslim person, or a gay person, or a trans person,",0,train,jewish
"they do not care about you, they only care about what you have and what you can do for them, they are all about the money",1,train,jewish
A quick reference guide for better understanding how jews think and manipulate others for their gain,1,train,jewish
"there is nothing wrong with wanting to be rich, but there is something wrong when you are willing to do anything to get rich, even if it means",0,train,jewish
+ jewish behaviour is typical of those suffering from a personality disorder similar to fascism,1,train,jewish
